"docID","text"
1267545475747627008,"vica secretly gazing jack obvious feels pumpkin guy panaceagame"
1267992672255475712,"dont put unnecessary walls covid stayhome scotland visitscotland stayhomemusings"
1267658203115876352,"world prisons increasingly overcrowded humanrights abuses rampant denial basic heal"
1267547663580508160,"reminds zombie movie years ago people ingrained habit shopping"
1267929184632025088,"srry spam inverted rainbow flag cus"
1267992146813939712,"im organizing zombie crawl downtown los angeles tomorrow night lets scare"
1267487375845756928,"phase zombie apocalypse"
1268006417174351872,"excited vote ce st time voting researched chose felt"
1267957907733262336,"denver arrest protesters past curfew results"
1267592639538442240,"mahdi thinking fix"
1267655484720455680,"leader respond alert govton covid economic crises leader demand stimu"
1267294605009133568,"antifa suck"
1265433561852772352,"vampire nighthawk mtg artist jason chan"
1267982377940377600,"paid tax dollars"
1267998690754600960,"cops gassing crowd rainbow crosswalkits pride month"
1267657044057706496,"great humility guided rules transparency driven approach government crossed rs bln mark"
1267291159006674944,"dangerous fold recently trump designating amorphous thing called antifa giv"
1267607098034130944,"cycles dive zombie jade novah"
1267298900672761856,"taking antifa terrorist organization ball ag barr"
1267604446370037760,"rainbow nycprotest east village nyc stay safe yall"
1267601203543842816,"prayersthoughts loss dog isaboo racheljohn delight watch im miss sh"
1267304135839199232,"protesting blacklivesmatter"
1267981836787036160,"exo rainbow"
1267845308949704704,"unicornbeacon entropy beacon brisk red wolf dashed lazy dingo woofed bark yelp"
1265443932642652160,"happen companions mtg"
1267536275596337152,"talking bout unicorn sleep told invite girls"
1267740315865227264,"ordered mini paints threw mtg deck builders toolkit basket basica"
1266537562438590464,"started throwing things cnn plant make protestors bad protested dozens"
1267602225532043264,"hamacheeses rainbow aesthetic literally strived life"
1267990546510995456,"styling check instagram clowntown"
1267998696672825344,"hugs hardest part loving pet gift give"
1267484684314988544,"top survival games android zombie offline high graphics"
1267936380166049792,"poor man hard time rainbow mob hold itll"
1267976053936525312,"info thread donate thread youtubers watch proceeds ads pls"
1265374548461002752,"retweeting mtg magicthegathering fridaynightmagic fnm fnmathome share rt"
1267304140990033920,"tiktokers blacklivesmatter ruined daythen hit renegade minutes pos"
1267993908841271296,"chad eddinger yo worked wilkes barre va medical center pa died covid marine veter"
1267520781556355072,"dont forget order liv unicorn shirts livlikeaunicorn bethegood"
1267660324502736896,"shameful murderer cuomo defied cdc orders sending covid infected patients ltc homes kil"
1267801276005449728,"aww poo cool"
1267649701450518528,"ignores subpoenas refuses testify oath justice dept"
1267546325471690752,"wouldnt surprised zombie apocalypse started"
1265129131282501632,"shipping snafu wait extra week mtg ikoria webcam pre release weekend thi"
1267616056442368000,"zombie life starts tomorrow work errday"
1267602930477289472,"amidst pride cancelled companies pumping rainbow logos compared year"
1267927044639330304,"sharing"
1267872092105523200,"happy pride house zombie"
1267637392023982080,"place colors rainbow thought skin color bein issue actu"
1265835176426450944,"mtg base mass wipe effect cmdr im choosing damnat"
1268017323258122240,"tamil community feels brothers sisters killed tamil lets black"
1267592542960455680,"im glad felt anime strawberry garnish"
1267296623136083968,"choose america bunkerboy"
1265608505043582976,"meta deck helped climb ladder enjoy mtga mtg magic"
1267895821745471488,"trump zombie troll alert zombie wingnuts agree"
1267305087967223808,"person bulldoze peaceful protest pasadena bluelivesmatter flag means monster"
1266536904494845952,"lmaoo cnn gotta paying good money deadass thuggin mn riots"
1267297976948371456,"pio speaking ugly looked profile dead san"
1267527385605439488,"love diz zombie tacha amazing fans fans twee"
1268016356735111168,"people uk sign petition stop export tear gas rubber bullets riot shields fro"
1267939567874854912,"guess cards mtg magicthegathering"
1267639478954479616,"adoptmetrades petsit newborn unicorn full grown pay monkey box amc"
1267305165582823424,"support protestors exercising rights standing horrible injustices black peopl"
1267306907208949760,"bunkerboy"
1267880255928307712,"stop spouting irrelevant nonsense"
1267942470752624640,"called louisville metro police dept front desk gave number inbox full calling"
1267982256070524928,"hoodwinked world china chinaindiafaceoff chinazi coronavirus covid"
1267603716485648384,"bet hare easily make zombie hahaha lion simply pounced caterpillar ass"
1267602994847195136,"damn imagine knowing google make post put rainbow flag"
1267986861265469440,"police minister bheki cele hes concerned sale alcohol level alcholsales covid lockdown enca"
1266536905690230784,"dream cnn isnt ended butning building"
1267965209395658752,"storm rainbow"
1267297970237603840,"antifa terrorists terrorists negotiation"
1267918497864089600,"im beatiful rainbow support twibbon"
1267883786332590080,"listen learn act blackouttuesday"
1267658686723289088,"perus covid cases top deaths reach"
1267977697126264832,"forgot wont rainbow sash hangs yang"
1267304180886253568,"lucas stranger things blacklivesmatter vidasnegrasimportam"
1267619069454417920,"whats perfect celebrate pride month pic infront rainbow house pridemonth lgbtq"
1267304778750734336,"time reckoning duallanguage world languages complicit maintaining systems oppre"
1267885016132059136,"unicorn salve"
1267534995578654720,"mtg mtga mtgarena magicthegathering mtgo ehd mtgstandard investors timmys"
1268016422514503680,"urgent scanner update im hearing requests backup street ave manhattan hear"
1267306436754718720,"leadership country bunkerboy idiot"
1268017044093636608,"humans stronger blacklivesmatter"
1267943860401065984,"play content police"
1267949068627648512,"trading valentina cuffsk hip bag coins love bag rainbow armlets treasure satchel cherry"
1267619044657692672,"official dude dont imperial rainbow council"
1267656321572233216,"radio stations land blackouttuesday blacklivesmatter justiceforgeorgefloyd"
1267649306518945792,"team chinese medical experts ended mission tackle covid algeria departed"
1267789963233558528,"reminder yesterday podcast owns put links donate antifa bail fund stacy"
1267304292245012480,"march protest sign petitions speak people blacklivesmatter"
1267305176014217216,"emotional today boston showed blacklivesmatter"
1267982373091713024,"establishment lost credibility covid covid"
1267609300559593472,"noise black lifes stop hypocrisy referring lifes"
1267992903957114880,"horses sci fi book"
1267293799283404800,"ill discuss danger trump designate antifa terrorist organization gop points fingers"
1267588686415265792,"dogs hate zombie cheney"
1265058583093358592,"finally thing irl covid playing mtg join"
1266537237937872896,"twin joke oan biased reporte"
1265669911541624832,"historic budget deck competitive check wildcard mono blue tempo li"
1267869415296688128,"galaxy girl yeah halo nvm fucking told"
1267954664835821568,"creatures retweet mtg magicthegathering"
1267610340994560000,"growersland grows unicorn weed js aint gonna tho art love marijuana"
1267991931830833152,"beautiful rainbow pride month great surprise today"
1267310160088838144,"life matters threat live free born life isnt staffordva"
1266536622721576960,"highly respected political pundit hope privileged protestors destroying cnn atlanta understand"
1267827290169208832,"playzz nrf giraffe group funds nrf turtle group funds nrf evil unicorn group funds nrf king bee group funds"
1267795467183644672,"codeblue"
